epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.462,0,25.3042,0,0,0,0,0,0,31.1287,0,0.00066,0.00066,0.00066
2,377.926,0,17.9315,0,0,0,0,0,0,22.2444,0,0.00128289,0.00128289,0.00128289
3,578.72,0,14.8686,0,0,0,0,0,0,20.6747,0,0.00186177,0.00186177,0.00186177
4,783.935,0,12.3257,0,0,0,0,0,0,38.9746,0,0.001802,0.001802,0.001802
5,981.024,0,10.1447,0,0,0,0,0,0,15.9213,0,0.001736,0.001736,0.001736
6,1168.39,0,8.21269,0,0,0,0,0,0,11.6606,0,0.00167,0.00167,0.00167
7,1365.88,0,6.54419,0,0,0,0,0,0,15.3487,0,0.001604,0.001604,0.001604
8,1559.73,0,5.23108,0,0,0,0,0,0,14.1437,0,0.001538,0.001538,0.001538
9,1755.75,0,4.15109,0,0,0,0,0,0,7.00962,0,0.001472,0.001472,0.001472
10,1956.08,0,3.27152,0,0,0,0,0,0,7.38766,0,0.001406,0.001406,0.001406
11,2151.25,0,2.56731,0,0,0,0,0,0,15.1425,0,0.00134,0.00134,0.00134
12,2347.43,0,2.01686,0,0,0,0,0,0,3.09851,0,0.001274,0.001274,0.001274
13,2550.35,0,1.5922,0,0,0,0,0,0,3.57847,0,0.001208,0.001208,0.001208
14,2747.04,0,1.26175,0,0,0,0,0,0,1.86872,0,0.001142,0.001142,0.001142
15,2897.89,0,1.00577,0,0,0,0,0,0,1.88807,0,0.001076,0.001076,0.001076
16,3083.8,0,0.80815,0,0,0,0,0,0,1.25418,0,0.00101,0.00101,0.00101
17,3276.65,0,0.65687,0,0,0,0,0,0,1.2453,0,0.000944,0.000944,0.000944
18,3469.94,0,0.54395,0,0,0,0,0,0,0.82865,0,0.000878,0.000878,0.000878
19,3662.7,0,0.44989,0,0,0,0,0,0,0.6753,0,0.000812,0.000812,0.000812
20,3847.72,0,0.37593,0,0,0,0,0,0,0.589,0,0.000746,0.000746,0.000746
21,4038.55,0,0.31914,0,0,0,0,0,0,0.56438,0,0.00068,0.00068,0.00068
22,4227.27,0,0.27389,0,0,0,0,0,0,0.39753,0,0.000614,0.000614,0.000614
23,4428.82,0,0.23906,0,0,0,0,0,0,0.3677,0,0.000548,0.000548,0.000548
24,4626.05,0,0.21085,0,0,0,0,0,0,0.32677,0,0.000482,0.000482,0.000482
25,4816.24,0,0.18886,0,0,0,0,0,0,0.30479,0,0.000416,0.000416,0.000416
26,5002.68,0,0.17341,0,0,0,0,0,0,0.27766,0,0.00035,0.00035,0.00035
27,5192.16,0,0.15854,0,0,0,0,0,0,0.25349,0,0.000284,0.000284,0.000284
28,5391.08,0,0.14988,0,0,0,0,0,0,0.24567,0,0.000218,0.000218,0.000218
29,5585.83,0,0.14539,0,0,0,0,0,0,0.23959,0,0.000152,0.000152,0.000152
30,5782.9,0,0.14191,0,0,0,0,0,0,0.23463,0,8.6e-05,8.6e-05,8.6e-05
